id,name,region,winner2019,age_under_25,age_25_34,age_35_49,age_50_64,age_over_65,immigrant,white,religion_christian,religion_islam,religion_hindu,religion_other,base_con,base_lab,base_ld,base_ref,base_grn,base_snp,base_pc,base_min
E14001321,Leeds North East,Y,Lab,11.1%,18.0%,27.8%,22.5%,20.6%,20.7%,63.7%,36.3%,13.6%,2.4%,9.3%,-0.068,1.475,-0.705,-0.647,-0.872,,,-1.396
E14001322,Leeds North West,Y,Con,10.1%,14.2%,25.1%,24.1%,26.5%,7.0%,91.7%,48.6%,2.1%,0.7%,1.8%,0.506,1.286,-0.556,-0.416,-1.118,,,-1.921
E14001323,Leeds South,Y,Lab,16.5%,23.7%,26.1%,19.9%,13.8%,26.8%,67.9%,42.7%,12.1%,1.2%,1.4%,0.122,1.462,-1.142,,-0.221,,,-0.855
E14001324,Leeds South West and Morley,Y,Con,10.9%,17.7%,25.1%,25.2%,21.0%,7.7%,91.4%,44.1%,1.7%,1.1%,1.6%,0.532,1.260,-1.733,0.084,-1.270,,,-1.535
E14001325,Leeds West and Pudsey,Y,Lab,12.0%,20.4%,25.9%,22.7%,19.0%,12.4%,84.6%,40.4%,5.8%,0.9%,2.5%,0.340,1.351,-1.533,-0.003,-1.037,,,-1.850
E14001326,Leicester East,EM,Lab,15.4%,17.5%,27.7%,22.2%,17.3%,50.5%,20.1%,14.9%,25.6%,37.6%,7.5%,0.208,1.116,-1.178,-0.374,-1.110,,,0.314
E14001327,Leicester South,EM,Lab,28.1%,18.5%,22.4%,17.9%,13.1%,40.0%,39.0%,21.9%,34.8%,8.3%,4.8%,-0.174,1.427,-1.479,-0.494,-0.283,,,-0.937
E14001328,Leicester West,EM,Lab,18.2%,20.4%,26.6%,20.4%,14.5%,32.8%,63.4%,37.2%,10.5%,7.4%,3.8%,0.180,1.255,-1.045,0.180,-0.592,,,-1.678
E14001329,Leigh and Atherton,NW,Con,11.3%,17.2%,23.7%,25.1%,22.6%,7.0%,94.0%,59.7%,1.5%,0.3%,0.7%,0.370,1.298,-1.409,0.240,-1.657,,,-1.749
E14001330,Lewes,SE,Con,9.7%,11.0%,19.8%,25.7%,33.9%,8.1%,95.0%,43.7%,0.7%,0.3%,1.6%,0.589,-0.274,1.161,-0.226,-0.978,,,-2.838
E14001331,Lewisham East,L,Lab,12.5%,20.1%,29.8%,23.9%,13.7%,35.1%,48.7%,49.0%,7.5%,3.1%,2.0%,-0.179,1.432,-0.633,-0.420,-0.627,,,-1.413
E14001332,Lewisham North,L,Lab,14.5%,28.9%,28.4%,19.1%,9.2%,39.8%,49.9%,40.5%,8.3%,1.6%,3.0%,-0.524,1.551,-0.838,-0.917,-0.526,,,-1.347
E14001333,Lewisham West and East Dulwich,L,Lab,10.0%,24.0%,32.0%,21.3%,12.8%,28.1%,62.2%,39.6%,5.3%,1.1%,2.1%,-0.391,1.481,-0.903,-0.798,-0.217,,,-1.350
E14001334,Leyton and Wanstead,L,Lab,11.6%,23.6%,31.3%,19.9%,13.5%,41.0%,51.9%,38.8%,22.2%,2.3%,3.3%,-0.159,1.411,-0.871,-0.642,-0.375,,,-0.912
E14001335,Lichfield,WM,Con,9.9%,13.3%,21.8%,26.0%,29.0%,4.3%,96.0%,55.0%,0.5%,0.3%,1.1%,0.865,0.929,-0.843,0.200,-0.999,,,-2.770
E14001336,Lincoln,EM,Con,23.2%,17.8%,20.9%,20.0%,18.1%,14.1%,92.8%,43.2%,1.7%,0.4%,1.2%,0.529,1.253,-1.448,0.077,-0.939,,,-2.471
E14001337,Liverpool Garston,NW,Lab,10.7%,16.2%,23.1%,25.3%,24.8%,8.0%,91.1%,62.4%,1.9%,0.8%,1.5%,-0.569,1.527,-0.551,-0.499,-0.917,,,-1.461
E14001338,Liverpool Riverside,NW,Lab,31.2%,22.4%,18.3%,15.7%,12.4%,24.3%,74.2%,47.1%,10.1%,1.2%,1.5%,-1.037,1.644,-1.615,-0.745,-0.599,,,-1.440
E14001339,Liverpool Walton,NW,Lab,12.9%,18.0%,23.7%,25.5%,20.0%,9.4%,92.2%,67.1%,1.4%,0.4%,0.7%,-0.918,1.636,-1.796,-0.404,-0.990,,,-1.404
E14001340,Liverpool Wavertree,NW,Lab,23.9%,18.0%,21.6%,19.4%,17.1%,17.9%,78.2%,49.4%,8.3%,0.8%,2.0%,-0.767,1.555,-0.876,-0.747,-0.359,,,-1.621
E14001341,Liverpool West Derby,NW,Lab,12.4%,17.8%,22.9%,25.6%,21.3%,9.9%,90.1%,65.8%,2.4%,0.4%,0.8%,-0.928,1.603,-1.576,-0.265,-0.955,,,-1.332
E14001342,Loughborough,EM,Con,24.2%,14.5%,20.3%,20.4%,20.4%,15.2%,83.0%,41.2%,4.3%,4.0%,1.5%,0.635,1.305,-1.382,-0.179,-1.119,,,
E14001343,Louth and Horncastle,EM,Con,8.8%,11.3%,16.8%,27.3%,35.8%,3.8%,97.9%,53.9%,0.3%,0.1%,0.8%,0.894,0.712,-1.100,0.569,-1.381,,,-1.861
E14001344,Lowestoft,E,Con,10.2%,13.5%,19.8%,25.0%,31.5%,4.5%,96.9%,43.8%,0.4%,0.2%,1.0%,0.659,1.031,-1.134,0.354,-0.682,,,
E14001345,Luton North,E,Lab,14.6%,17.4%,27.2%,22.5%,18.3%,33.2%,44.4%,38.8%,32.5%,3.6%,2.3%,0.223,1.321,-0.862,-0.182,-0.804,,,-1.259
E14001346,Luton South and South Bedfordshire,E,Lab,16.2%,21.2%,27.8%,20.3%,14.5%,39.9%,51.4%,38.8%,29.7%,2.7%,2.2%,0.246,1.192,-0.770,0.055,-0.672,,,-0.958
E14001347,Macclesfield,NW,Con,9.4%,12.8%,22.1%,27.1%,28.6%,6.7%,95.2%,52.7%,0.7%,0.5%,1.1%,0.640,1.227,-0.920,-0.118,-1.187,,,-2.424
E14001348,Maidenhead,SE,Con,10.3%,14.7%,27.5%,24.8%,22.7%,20.4%,80.3%,49.0%,6.1%,3.3%,3.4%,0.919,0.433,0.884,,-0.823,,,-2.505
E14001349,Maidstone and Malling,SE,Con,11.7%,17.9%,26.7%,22.7%,21.0%,16.9%,87.4%,48.0%,2.3%,1.9%,2.0%,0.805,0.740,0.021,0.069,-0.719,,,-2.607
E14001350,Makerfield,NW,Lab,11.6%,14.9%,23.0%,25.4%,25.1%,4.2%,96.7%,65.3%,0.8%,0.2%,0.5%,0.080,1.327,-1.443,0.321,-0.981,,,-1.911
E14001351,Maldon,E,Con,10.4%,12.6%,20.8%,27.0%,29.2%,5.1%,96.1%,50.2%,0.6%,0.3%,1.0%,1.004,0.561,-0.171,0.306,-1.166,,,
E14001352,Manchester Central,NW,Lab,21.8%,28.4%,22.7%,16.3%,10.8%,32.1%,61.4%,39.3%,16.0%,1.0%,2.1%,-0.291,1.441,-0.995,-0.295,-0.513,,,-1.191
E14001353,Manchester Rusholme,NW,Lab,36.9%,22.0%,20.6%,13.4%,7.1%,39.9%,40.8%,25.6%,33.7%,1.7%,2.0%,-0.550,1.568,,-0.665,-0.223,,,-1.207
E14001354,Manchester Withington,NW,Lab,21.9%,23.5%,23.9%,17.5%,13.2%,20.7%,71.8%,31.4%,14.1%,1.3%,2.4%,-0.638,1.529,-0.319,-1.034,-0.614,,,-1.502
E14001355,Mansfield,EM,Con,10.6%,16.4%,23.3%,25.8%,23.9%,10.7%,94.9%,46.7%,1.1%,0.3%,0.9%,0.694,1.061,-1.915,0.462,-1.626,,,-1.809
E14001356,Melksham and Devizes,SW,Con,9.8%,12.3%,21.2%,27.0%,29.7%,7.5%,96.3%,49.5%,0.5%,0.2%,1.2%,0.788,0.194,0.805,0.004,-1.079,,,
E14001357,Melton and Syston,EM,Con,10.2%,14.1%,22.0%,26.8%,26.9%,8.6%,89.4%,47.8%,0.9%,5.1%,1.9%,0.798,0.923,-0.955,0.225,-0.701,,,-2.174
E14001358,Meriden and Solihull East,WM,Con,11.6%,13.8%,22.7%,25.2%,26.8%,8.9%,85.6%,51.8%,3.4%,1.9%,2.6%,0.893,0.882,-0.601,0.120,-0.788,,,
E14001359,Mid Bedfordshire,E,Con,11.4%,16.1%,24.8%,25.6%,22.1%,9.9%,89.3%,48.6%,1.6%,1.0%,2.0%,0.729,0.869,-0.182,0.091,-0.793,,,-1.932
E14001360,Mid Buckinghamshire,SE,Con,10.4%,13.1%,24.1%,26.2%,26.1%,10.4%,90.7%,51.6%,1.6%,1.4%,1.7%,0.880,0.639,0.292,-0.137,-0.923,,,-2.709
E14001361,Mid Cheshire,NW,Con,11.1%,16.2%,23.7%,26.7%,22.3%,6.2%,96.0%,54.3%,0.6%,0.4%,0.7%,0.428,1.280,-1.035,0.084,-1.210,,,-2.163
E14001362,Mid Derbyshire,EM,Con,10.3%,12.4%,21.9%,26.7%,28.7%,4.9%,95.3%,49.8%,0.6%,0.3%,1.3%,0.716,1.072,-1.109,0.136,-0.772,,,-2.437
E14001363,Mid Dorset and North Poole,SW,Con,10.0%,11.8%,20.3%,26.2%,31.8%,6.3%,96.9%,49.7%,0.5%,0.3%,1.0%,0.962,0.108,1.063,,-1.156,,,-2.945
E14001364,Mid Leicestershire,EM,Con,10.6%,14.8%,23.9%,24.9%,25.8%,11.5%,81.9%,43.1%,1.8%,6.9%,3.9%,0.808,0.996,-0.972,0.189,-0.800,,,
E14001365,Mid Norfolk,E,Con,10.3%,13.3%,19.8%,25.7%,30.9%,7.6%,96.8%,50.3%,0.4%,0.1%,0.9%,0.822,0.846,-0.698,0.453,-1.159,,,
E14001366,Mid Sussex,SE,Con,10.2%,13.9%,26.4%,24.4%,25.0%,12.1%,91.9%,47.7%,1.2%,1.2%,1.2%,0.675,0.518,0.774,-0.295,-1.002,,,-2.725
E14001367,Middlesbrough and Thornaby East,NE,Lab,16.2%,19.4%,23.1%,22.3%,18.9%,15.2%,78.0%,43.2%,13.1%,1.2%,1.1%,-0.173,1.287,-1.439,0.354,-0.912,,,-0.770
E14001368,Middlesbrough South and East Cleveland,NE,Con,10.7%,14.3%,20.6%,26.4%,28.0%,3.2%,96.4%,54.0%,1.2%,0.2%,0.7%,0.876,1.357,-1.266,,-1.319,,,-1.860
E14001369,Milton Keynes Central,SE,Con,13.2%,19.6%,30.8%,22.6%,13.8%,32.3%,65.5%,42.9%,8.1%,5.9%,2.2%,0.577,1.220,-0.494,-0.282,-1.072,,,-2.172
E14001370,Milton Keynes North,SE,Con,10.9%,16.9%,27.3%,23.0%,21.9%,18.5%,79.9%,42.4%,5.7%,3.0%,1.4%,0.625,1.208,-0.751,-0.049,-1.053,,,
E14001371,Mitcham and Morden,L,Lab,12.6%,20.8%,29.5%,22.2%,14.9%,42.7%,52.1%,47.7%,12.7%,7.1%,1.8%,0.047,1.434,-0.907,-0.360,-0.837,,,-1.566
E14001372,Morecambe and Lunesdale,NW,Con,10.2%,11.6%,19.5%,26.7%,32.0%,5.2%,97.6%,57.2%,0.4%,0.1%,0.9%,0.656,1.088,-0.346,0.049,-1.078,,,
E14001373,New Forest East,SE,Con,9.7%,12.1%,20.2%,27.1%,30.9%,6.1%,96.7%,49.4%,0.3%,0.2%,1.1%,0.909,0.544,0.052,0.244,-0.957,,,-2.700
E14001374,New Forest West,SE,Con,8.5%,9.5%,17.2%,26.0%,38.8%,7.7%,96.8%,54.0%,0.4%,0.1%,1.1%,0.920,0.573,-0.047,0.143,-0.651,,,-2.592
E14001375,Newark,EM,Con,10.6%,12.9%,21.8%,26.4%,28.4%,7.7%,96.2%,53.1%,0.6%,0.2%,1.1%,0.843,0.934,-0.874,0.207,-0.989,,,-2.276
E14001376,Newbury,SE,Con,11.0%,15.4%,24.8%,25.5%,23.4%,12.6%,92.7%,48.4%,1.1%,1.5%,0.9%,0.745,-0.036,1.009,-0.260,-1.035,,,-3.095
E14001377,Newcastle upon Tyne Central and West,NE,Lab,22.4%,18.3%,22.2%,20.0%,17.1%,22.5%,72.6%,41.4%,14.6%,1.3%,1.6%,-0.050,1.372,-1.330,0.055,-0.766,,,-1.163
E14001378,Newcastle upon Tyne East and Wallsend,NE,Lab,19.7%,19.0%,21.1%,21.6%,18.5%,11.8%,88.4%,42.2%,3.4%,0.9%,1.3%,-0.224,1.432,-0.967,-0.083,-0.635,,,-1.736
E14001379,Newcastle upon Tyne North,NE,Lab,21.5%,16.1%,21.7%,20.6%,20.1%,12.0%,87.0%,42.5%,4.2%,1.6%,1.6%,0.166,1.300,-0.236,-0.234,-0.820,,,-2.097
E14001380,Newcastle-under-Lyme,WM,Con,15.8%,14.1%,21.4%,24.0%,24.7%,8.0%,91.6%,50.9%,2.2%,0.7%,1.2%,0.595,1.195,-1.487,0.245,-1.008,,,
E14001381,Newton Abbot,SW,Con,9.4%,12.6%,19.7%,26.5%,31.9%,5.1%,97.6%,47.0%,0.3%,0.1%,1.1%,0.714,0.492,0.574,0.111,-1.169,,,-2.230
E14001382,Newton Aycliffe and Spennymoor,NE,Con,11.2%,14.8%,21.5%,26.5%,26.0%,3.7%,97.8%,54.0%,0.4%,0.1%,0.7%,0.421,1.178,-1.262,0.400,-1.291,,,-1.802
E14001383,Normanton and Hemsworth,Y,Lab,11.2%,16.4%,22.3%,26.1%,23.9%,6.5%,96.9%,51.6%,0.6%,0.2%,0.7%,-0.020,1.213,-1.408,0.679,-0.849,,,
E14001384,North Bedfordshire,E,Con,10.8%,15.6%,24.5%,25.7%,23.4%,9.8%,89.6%,47.9%,1.5%,0.9%,2.0%,0.867,0.886,-0.263,0.104,-1.177,,,
E14001385,North Cornwall,SW,Con,9.5%,11.8%,20.3%,26.8%,31.5%,5.2%,97.3%,48.1%,0.2%,0.1%,1.2%,0.749,-0.105,0.883,0.192,-1.355,,,-2.478
E14001386,North Cotswolds,SW,Con,9.4%,12.7%,21.5%,26.6%,29.7%,8.5%,95.8%,53.8%,0.3%,0.3%,1.0%,0.786,0.557,0.154,0.140,-0.402,,,-2.704
E14001387,North Devon,SW,Con,10.0%,12.7%,19.8%,26.6%,30.9%,5.5%,96.9%,46.7%,0.4%,0.2%,1.1%,0.732,-0.069,0.872,0.153,-1.042,,,-2.693
E14001388,North Dorset,SW,Con,10.0%,11.6%,19.5%,26.4%,32.5%,7.1%,97.2%,52.7%,0.3%,0.3%,1.2%,0.872,0.280,0.582,0.035,-0.934,,,-2.868
E14001389,North Durham,NE,Lab,10.6%,14.1%,21.3%,27.1%,26.9%,3.1%,97.6%,53.4%,0.5%,0.1%,0.8%,0.069,1.214,-0.673,0.378,-1.049,,,-1.490
E14001390,North East Cambridgeshire,E,Con,10.6%,15.0%,21.4%,25.4%,27.6%,12.4%,95.9%,52.1%,0.7%,0.2%,0.9%,0.886,0.645,-0.926,0.537,-0.790,,,-2.346
E14001391,North East Derbyshire,EM,Con,10.1%,13.1%,20.7%,26.6%,29.6%,3.2%,97.3%,50.8%,0.4%,0.1%,0.8%,0.745,1.131,-1.373,0.152,-1.275,,,-2.470
E14001392,North East Hampshire,SE,Con,10.2%,13.2%,25.8%,26.4%,24.4%,11.1%,93.1%,50.2%,0.7%,1.0%,1.3%,0.901,0.327,0.575,-0.051,-1.175,,,-2.290
E14001393,North East Hertfordshire,E,Con,10.5%,14.2%,24.3%,25.9%,25.2%,9.4%,91.0%,46.7%,0.8%,0.8%,2.4%,0.728,0.961,-0.192,0.077,-0.916,,,
E14001394,North East Somerset and Hanham,SW,Con,11.9%,14.6%,21.7%,25.0%,26.8%,5.7%,95.9%,45.8%,0.5%,0.2%,0.9%,0.699,1.041,-0.136,-0.095,-1.240,,,-2.639
E14001395,North Herefordshire,WM,Con,8.9%,11.4%,18.5%,27.3%,33.9%,6.7%,97.6%,56.1%,0.3%,0.1%,1.1%,0.755,0.151,-0.580,0.031,0.705,,,-2.481
E14001396,North Norfolk,E,Con,8.1%,9.7%,16.0%,26.7%,39.6%,4.4%,98.1%,52.3%,0.2%,0.1%,1.1%,0.806,-0.166,0.952,0.105,-1.593,,,
E14001397,North Northumberland,NE,Con,8.5%,10.8%,18.5%,28.5%,33.7%,3.7%,98.2%,56.7%,0.4%,0.1%,0.9%,0.691,0.964,-0.326,0.218,-1.217,,,-2.209
E14001398,North Shropshire,WM,Con,10.8%,12.3%,20.0%,27.3%,29.6%,6.1%,97.4%,57.1%,0.4%,0.1%,0.7%,0.681,0.348,0.392,0.412,-0.620,,,-2.655
E14001399,North Somerset,SW,Con,9.2%,10.8%,23.4%,25.5%,31.0%,7.2%,96.1%,48.2%,0.5%,0.2%,1.0%,0.700,1.025,-0.147,-0.173,-0.916,,,-2.467
E14001400,North Warwickshire and Bedworth,WM,Con,11.0%,14.9%,22.2%,26.2%,25.8%,7.0%,92.3%,52.6%,0.7%,0.8%,3.0%,0.815,1.029,-1.551,0.335,-1.127,,,
E14001401,North West Cambridgeshire,E,Con,11.4%,18.0%,27.3%,23.4%,19.9%,18.9%,86.8%,49.2%,2.9%,1.6%,1.4%,0.759,0.895,-0.659,0.300,-0.623,,,
E14001402,North West Essex,E,Con,10.6%,14.0%,25.0%,25.7%,24.7%,9.2%,93.2%,49.6%,0.9%,0.7%,1.2%,0.873,0.613,0.255,-0.026,-0.939,,,-2.440
E14001403,North West Hampshire,SE,Con,10.6%,17.4%,25.5%,24.9%,21.6%,12.8%,91.8%,47.7%,1.0%,1.1%,1.4%,0.845,0.692,0.133,0.077,-0.997,,,-2.663
E14001404,North West Leicestershire,EM,Con,11.7%,15.2%,23.2%,25.4%,24.5%,6.3%,95.9%,49.0%,0.4%,0.5%,0.9%,0.606,0.950,-1.297,0.444,-1.069,,,-0.964
E14001405,North West Norfolk,E,Con,9.9%,13.6%,20.1%,25.0%,31.4%,11.6%,95.1%,53.3%,0.6%,0.4%,1.0%,0.794,0.811,-0.748,0.541,-1.090,,,
E14001406,Northampton North,EM,Con,14.9%,20.3%,26.2%,21.0%,17.5%,30.6%,77.1%,48.1%,7.3%,1.7%,1.5%,0.533,1.189,-1.183,0.123,-0.936,,,-1.762
E14001407,Northampton South,EM,Con,13.1%,17.3%,27.1%,23.1%,19.4%,22.2%,81.6%,49.3%,3.7%,2.1%,1.9%,0.729,1.060,-0.949,0.171,-1.081,,,-2.168
E14001408,Norwich North,E,Con,11.1%,17.2%,24.1%,23.2%,24.3%,11.1%,93.0%,41.0%,1.7%,0.4%,1.1%,0.497,1.272,-1.527,0.044,-0.949,,,-2.059
E14001409,Norwich South,E,Lab,23.4%,18.3%,21.0%,18.2%,19.1%,17.7%,86.2%,33.7%,2.9%,1.5%,2.1%,-0.040,1.341,-0.755,-0.434,-0.069,,,-1.893
E14001410,Nottingham East,EM,Lab,29.3%,20.6%,22.0%,16.9%,11.2%,30.8%,60.2%,32.2%,16.9%,1.5%,2.8%,-0.230,1.487,-1.400,-0.363,-0.548,,,-1.382
E14001411,Nottingham North and Kimberley,EM,Lab,13.3%,17.9%,25.1%,24.0%,19.7%,18.0%,72.5%,39.0%,7.6%,1.3%,2.4%,0.241,1.307,-1.568,0.373,-1.012,,,
E14001412,Nottingham South,EM,Lab,35.2%,15.5%,18.1%,16.5%,14.7%,21.6%,69.1%,34.4%,10.2%,2.2%,3.1%,0.046,1.319,-1.154,-0.051,-0.340,,,-1.486
E14001413,Nuneaton,WM,Con,11.6%,17.8%,23.6%,24.6%,22.4%,11.5%,87.7%,48.1%,3.5%,1.6%,2.8%,0.686,1.108,-1.701,0.261,-0.840,,,-2.766
E14001414,Old Bexley and Sidcup,L,Con,12.3%,15.1%,24.9%,24.4%,23.3%,16.1%,80.1%,49.1%,3.2%,3.3%,2.4%,0.921,0.975,-1.104,0.089,-1.258,,,-2.137
E14001415,Oldham East and Saddleworth,NW,Lab,13.5%,16.3%,24.5%,24.1%,21.5%,14.8%,72.5%,47.2%,20.8%,0.2%,0.6%,0.373,1.210,-0.873,0.175,-1.248,,,-1.247
E14001416,"Oldham West, Chadderton and Royton",NW,Lab,15.6%,17.6%,25.6%,21.9%,19.2%,20.2%,59.4%,39.8%,32.1%,0.8%,0.5%,0.085,1.360,-1.487,0.079,-1.129,,,-0.990
E14001417,Orpington,L,Con,11.3%,13.8%,25.7%,24.8%,24.3%,18.1%,78.4%,49.6%,2.5%,4.1%,1.8%,0.905,0.809,-0.242,0.088,-1.211,,,-2.411
E14001418,Ossett and Denby Dale,Y,Con,10.8%,13.1%,22.8%,26.0%,27.4%,5.5%,94.2%,50.4%,2.4%,0.3%,0.8%,0.643,1.182,-1.416,0.129,-1.300,,,-1.776
E14001419,Oxford East,SE,Lab,21.1%,22.2%,24.5%,18.3%,14.0%,34.5%,68.7%,40.2%,10.5%,1.6%,2.4%,-0.077,1.448,-0.294,,-0.220,,,-1.342
E14001420,Oxford West and Abingdon,SE,LD,24.0%,16.5%,20.0%,19.6%,19.9%,26.0%,82.6%,41.7%,2.9%,1.3%,2.5%,0.116,0.286,1.235,-0.446,-0.971,,,-2.569
E14001421,Peckham,L,Lab,15.8%,28.0%,25.9%,20.6%,9.7%,42.5%,41.4%,46.5%,11.3%,0.6%,2.2%,-0.529,1.481,-0.746,-0.777,-0.256,,,-1.210
E14001422,Pendle and Clitheroe,NW,Con,11.9%,15.2%,23.7%,25.0%,24.2%,13.4%,80.5%,46.6%,16.4%,0.1%,0.6%,0.744,1.103,-1.011,0.099,-1.235,,,-2.196
E14001423,Penistone and Stocksbridge,Y,Con,9.8%,12.1%,21.7%,27.0%,29.4%,3.3%,96.6%,52.3%,0.6%,0.1%,0.9%,0.618,1.157,-0.684,0.200,-1.485,,,
E14001424,Penrith and Solway,NW,Con,9.6%,11.8%,19.6%,28.3%,30.7%,4.3%,98.1%,59.0%,0.3%,0.1%,0.5%,0.644,1.063,-0.704,0.186,-0.934,,,-2.313
E14001425,Peterborough,E,Con,13.5%,19.5%,26.9%,21.5%,18.6%,32.1%,69.6%,44.7%,17.8%,1.6%,1.4%,0.484,1.167,-1.251,0.167,-0.761,,,-1.560
E14001426,Plymouth Moor View,SW,Con,11.9%,16.3%,22.7%,24.4%,24.7%,6.3%,96.0%,44.2%,0.7%,0.3%,0.8%,0.656,1.117,-1.449,0.368,-1.125,,,
E14001427,Plymouth Sutton and Devonport,SW,Lab,21.9%,18.7%,22.0%,20.6%,16.9%,14.4%,90.2%,37.4%,2.4%,0.5%,1.6%,0.219,1.321,-1.324,0.149,-0.782,,,-2.145
E14001428,"Pontefract, Castleford and Knottingley",Y,Lab,11.0%,18.5%,22.9%,25.3%,22.3%,5.8%,96.5%,49.3%,0.5%,0.2%,0.7%,0.069,1.260,-1.121,0.499,-1.341,,,-1.863
E14001429,Poole,SW,Con,10.0%,14.8%,22.7%,24.6%,27.9%,12.1%,93.5%,47.7%,1.0%,0.5%,1.3%,0.784,0.786,0.052,0.061,-1.042,,,-2.023
E14001430,Poplar and Limehouse,L,Lab,17.4%,35.1%,29.0%,12.4%,6.1%,50.1%,40.1%,25.3%,35.9%,3.1%,2.4%,-0.238,1.350,-0.396,-0.809,-0.604,,,-0.387
E14001431,Portsmouth North,SE,Con,12.3%,17.6%,24.6%,24.6%,20.9%,11.6%,90.3%,42.1%,2.6%,0.5%,1.2%,0.906,0.937,-0.730,0.149,-1.137,,,
E14001432,Portsmouth South,SE,Lab,24.9%,19.0%,21.9%,18.7%,15.5%,21.9%,80.5%,36.9%,7.0%,1.0%,1.7%,0.273,1.246,-0.235,-0.064,-1.075,,,-2.055
E14001433,Preston,NW,Lab,19.3%,19.4%,23.7%,21.4%,16.2%,21.6%,70.1%,44.1%,18.1%,3.0%,1.5%,0.016,1.369,-0.991,-0.032,-0.759,,,-1.428
E14001434,Putney,L,Lab,12.5%,27.6%,29.1%,18.1%,12.7%,39.8%,68.9%,43.7%,10.6%,1.5%,2.5%,0.396,1.314,-0.395,-0.617,-0.871,,,-1.875
E14001435,Queen's Park and Maida Vale,L,Lab,14.5%,23.0%,27.2%,22.5%,12.7%,48.7%,47.2%,38.5%,24.7%,1.8%,3.2%,-0.064,1.318,-0.281,-0.544,-0.403,,,-1.169
E14001436,Rawmarsh and Conisbrough,Y,Lab,11.4%,16.0%,22.6%,25.8%,24.1%,4.1%,96.7%,51.6%,0.8%,0.1%,0.8%,0.097,1.224,-1.656,0.626,-1.184,,,-2.118
E14001437,Rayleigh and Wickford,E,Con,10.8%,13.5%,22.4%,25.7%,27.6%,4.7%,95.0%,48.6%,0.6%,0.5%,0.9%,0.951,0.737,-0.591,0.369,-1.182,,,
E14001438,Reading Central,SE,Lab,16.7%,22.7%,27.9%,18.8%,14.0%,37.2%,65.8%,38.8%,9.3%,5.9%,3.4%,0.240,1.364,-0.915,-0.420,-0.553,,,-1.749
E14001439,Reading West and Mid Berkshire,SE,Con,11.4%,13.9%,25.3%,26.1%,23.3%,14.7%,85.8%,48.1%,3.1%,1.4%,1.7%,0.709,0.963,-0.019,-0.092,-1.049,,,-2.375
E14001440,Redcar,NE,Con,11.1%,14.0%,20.3%,27.0%,27.5%,3.3%,97.4%,51.9%,1.0%,0.1%,0.6%,0.488,1.198,-1.331,0.342,-1.374,,,-2.083
E14001441,Redditch,WM,Con,11.2%,16.4%,24.3%,24.0%,24.0%,10.6%,90.7%,50.1%,3.7%,0.3%,1.1%,0.833,1.009,-1.067,0.172,-1.012,,,-2.932
E14001442,Reigate,SE,Con,10.5%,15.0%,26.8%,24.8%,23.0%,16.7%,84.0%,49.8%,3.1%,2.7%,1.4%,0.801,0.712,0.214,-0.199,-0.405,,,
E14001443,Ribble Valley,NW,Con,10.5%,13.5%,21.7%,27.4%,26.9%,6.7%,91.1%,63.7%,3.7%,1.3%,0.9%,0.762,1.044,-0.768,0.158,-1.201,,,-2.628
E14001444,Richmond and Northallerton,Y,Con,10.7%,12.4%,18.6%,27.3%,31.0%,6.7%,96.0%,57.8%,0.3%,0.8%,1.2%,0.994,0.649,-0.302,0.179,-1.157,,,-1.908
E14001445,Richmond Park,L,LD,10.1%,14.9%,30.7%,24.5%,19.7%,34.6%,76.4%,44.4%,5.7%,2.3%,3.2%,0.378,-0.359,1.361,-0.463,-1.502,,,-2.588
E14001446,Rochdale,NW,Lab,14.3%,17.5%,25.9%,23.1%,19.2%,19.6%,63.0%,38.5%,30.2%,0.3%,0.7%,0.014,1.237,-0.696,0.074,-0.986,,,-0.574
E14001447,Rochester and Strood,SE,Con,12.6%,18.0%,25.2%,24.1%,20.1%,12.6%,85.9%,44.7%,2.1%,1.0%,2.8%,0.720,0.968,-0.971,0.334,-0.939,,,-2.042
E14001448,Romford,L,Con,12.1%,18.5%,25.8%,22.8%,20.7%,21.8%,72.4%,51.1%,7.5%,2.9%,3.5%,0.947,0.944,-1.220,0.099,-1.194,,,-2.024
E14001449,Romsey and Southampton North,SE,Con,15.4%,13.0%,21.0%,23.7%,27.0%,14.0%,88.9%,49.5%,2.8%,0.8%,2.0%,0.875,0.345,0.754,-0.282,-1.419,,,-2.891
E14001450,Rossendale and Darwen,NW,Con,11.2%,15.3%,23.4%,26.9%,23.2%,4.6%,94.4%,52.3%,3.1%,0.1%,0.8%,0.624,1.237,-1.784,0.118,-1.130,,,-2.714
E14001451,Rother Valley,Y,Con,11.0%,14.4%,21.3%,25.9%,27.4%,3.9%,95.2%,52.0%,1.9%,0.2%,0.7%,0.609,1.098,-1.311,0.414,-0.993,,,
E14001452,Rotherham,Y,Lab,13.0%,17.6%,23.7%,24.4%,21.3%,11.5%,84.0%,44.4%,10.3%,0.4%,0.7%,,1.269,-0.570,0.738,-0.751,,,-1.191
E14001453,Rugby,WM,Con,11.3%,17.1%,25.4%,23.5%,22.7%,18.6%,85.7%,50.4%,1.9%,3.3%,2.3%,0.687,1.134,-0.879,-0.006,-1.040,,,-2.518
E14001454,"Ruislip, Northwood and Pinner",L,Con,10.2%,14.1%,26.5%,24.0%,25.2%,33.1%,55.3%,39.6%,9.3%,17.9%,7.4%,0.972,0.948,-0.553,-0.243,-0.990,,,
