id,name,region,winner2019,age_under_25,age_25_34,age_35_49,age_50_64,age_over_65,immigrant,white,religion_christian,religion_islam,religion_hindu,religion_other,base_con,base_lab,base_ld,base_ref,base_grn,base_snp,base_pc,base_min
E14001232,Exmouth and Exeter East,SW,Con,10.4%,14.5%,22.1%,23.8%,29.2%,7.4%,96.2%,47.3%,0.7%,0.2%,1.0%,0.742,0.540,-0.044,0.427,-0.769,,,-1.566
E14001233,Fareham and Waterlooville,SE,Con,10.0%,14.0%,20.8%,25.7%,29.6%,6.5%,95.7%,46.9%,0.6%,0.3%,1.0%,0.829,0.620,0.225,0.182,-1.095,,,-2.929
E14001234,Farnham and Bordon,SE,Con,11.5%,12.5%,24.2%,26.0%,25.9%,12.7%,93.4%,50.4%,1.4%,0.3%,1.2%,0.834,0.102,0.793,-0.022,-1.287,,,-2.182
E14001235,Faversham and Mid Kent,SE,Con,10.7%,14.6%,23.3%,25.8%,25.7%,8.6%,93.7%,48.9%,1.1%,0.6%,1.1%,0.828,0.776,-0.436,0.340,-0.948,,,-2.490
E14001236,Feltham and Heston,L,Lab,13.8%,19.7%,30.5%,21.6%,14.4%,50.4%,37.4%,37.1%,17.8%,10.4%,14.3%,0.227,1.278,-1.070,-0.002,-0.713,,,-1.155
E14001237,Filton and Bradley Stoke,SW,Con,16.9%,18.9%,25.4%,21.1%,17.7%,16.9%,85.2%,41.4%,2.8%,2.3%,1.6%,0.554,1.259,-0.762,-0.170,-0.876,,,
E14001238,Finchley and Golders Green,L,Con,11.7%,19.0%,28.7%,21.4%,19.1%,45.0%,60.5%,30.8%,10.9%,4.8%,23.4%,0.760,0.839,0.271,-0.610,-0.667,,,-1.806
E14001239,Folkestone and Hythe,SE,Con,10.3%,13.4%,20.3%,26.0%,30.0%,11.1%,92.0%,47.2%,1.1%,1.7%,2.1%,0.712,0.924,-0.759,0.299,-0.687,,,-2.222
E14001240,Forest of Dean,SW,Con,11.2%,12.4%,19.3%,27.1%,30.0%,5.1%,97.5%,50.9%,0.3%,0.1%,1.1%,0.718,0.937,-1.344,0.254,-0.251,,,-2.912
E14001241,Frome and East Somerset,SW,Con,10.9%,13.5%,22.1%,26.8%,26.7%,6.6%,96.8%,45.1%,0.3%,0.1%,1.2%,0.481,0.535,0.618,0.035,-0.366,,,-2.509
